Stock,Name,Mean spread (bps),Median spread (bps),Mean depth (GBP),Turnover (GBP/min),Value ADV (GBP/day),Amihud illiq (x1e6),Mean volume (sh/min),Mean trades/min,ADV (sh/day),Half-spread (bps),Obs
ULVR.L,Unilever,2.507346771763682,2.1215657154980376,27424.013288707058,266541.19271443237,130809255.03074384,0.009986205705929,5537.117058567048,27.634945397815912,2717426.713945819,1.253673385881841,31409
EXPN.L,Experian,6.2982921617240715,7.104795737122557,18765.609538013185,133598.15548623897,65540332.62189758,0.028837584184957184,5226.869505432729,13.022454374621779,2564187.8415948655,3.1491460808620357,31397
KGF.L,Kingfisher,8.492797873937517,8.332176086654949,6383.627228024103,19505.020363836924,9458106.2808018,0.44012836378141734,6624.75969829639,3.9889798285751112,3212387.3824520335,4.246398936968759,31034
