Stock,minute_of_day,spread_bps,depth_gbp,volume
EXPN.L,495,10.618332170296664,9570.3509375,2751.5474295559375
EXPN.L,496,10.373112423357162,10557.06,3158.7230151334375
EXPN.L,497,9.734202316339594,11235.8053125,3440.679042462656
EXPN.L,498,9.765821229510482,9462.8321875,3312.656835525469
EXPN.L,499,10.249504675495828,9113.1328125,3632.4625811251562
EXPN.L,500,10.2803448222393,10360.06140625,2178.60094487625
EXPN.L,501,9.631365992333842,10028.789375,2949.2019067265624
EXPN.L,502,9.371695019589891,13142.61890625,2250.1409270825
EXPN.L,503,8.985252695329356,8672.152265625,3722.7566064021876
EXPN.L,504,8.688331315356498,9822.092265625,2452.212082900625
EXPN.L,505,9.27994656003074,9275.96765625,3030.0886581078125
EXPN.L,506,9.261269745759714,9077.878515625,2776.58733297375
EXPN.L,507,8.740490333825619,11576.26890625,4134.156478332812
EXPN.L,508,8.42195640664893,9823.92765625,2427.452183265625
EXPN.L,509,8.158935195349072,10593.044140625,3037.7677514232814
EXPN.L,510,8.505371651923133,10161.1790625,3253.8716933015626
EXPN.L,511,8.39656227124563,10880.147734375,2930.9384978840626
EXPN.L,512,8.377474275451556,12116.170859375,2257.489976398281
EXPN.L,513,8.3811571255268,10782.738203125,3458.4202779957814
EXPN.L,514,7.976418423987598,12942.146484375,2830.5275432135936
EXPN.L,515,8.098955936212494,11999.15671875,2222.638285771406
EXPN.L,516,8.376645406408013,11489.441640625,2831.9310270542187
EXPN.L,517,7.815644129477637,11338.738359375,3398.0413378473436
EXPN.L,518,8.317985237221553,12388.101796875,1725.5873345953125
EXPN.L,519,7.935830977681687,11779.870078125,2982.6139821790625
EXPN.L,520,7.847163256751002,11827.5109375,1649.6965870651563
EXPN.L,521,7.750862941396256,10677.4646875,2386.014723396406
EXPN.L,522,7.470477963767777,11456.754296875,2559.631231642656
EXPN.L,523,7.948958862451042,12022.674453125,2528.4455616
EXPN.L,524,7.546342883312963,12346.828203125,2179.749443188594
EXPN.L,525,7.779093940062274,13519.983359375,3317.6454614834374
EXPN.L,526,7.704410088163057,12040.44703125,2180.3176659546875
EXPN.L,527,7.280605739840896,13002.017265625,2789.388453831875
EXPN.L,528,7.264760974593321,12869.19484375,2146.210071462344
EXPN.L,529,7.35053021406726,13227.705078125,3758.057210728125
EXPN.L,530,7.7132707652918855,13059.90234375,3277.4396985734375
EXPN.L,531,7.486406893772251,13387.560078125,3951.6966160367188
EXPN.L,532,7.567745644663065,13874.059296875,3347.2296758221873
EXPN.L,533,7.202732752918681,11766.9346875,2330.2039295171876
EXPN.L,534,7.385107543318513,13400.60671875,3184.729351393594
EXPN.L,535,7.4091598580230995,12476.015859375,3323.66745278625
EXPN.L,536,7.21063683079131,13035.88640625,1775.6452066225
EXPN.L,537,7.619548260921618,13618.0725,3978.422124663125
EXPN.L,538,7.354726607336264,12188.456640625,3302.6937544578127
EXPN.L,539,7.481289983771488,14951.79234375,2772.84243462625
EXPN.L,540,7.91628451855982,13762.06953125,3424.736591903125
EXPN.L,541,7.352998804969539,12047.6365625,5954.441486358125
EXPN.L,542,7.724177117988282,14341.56640625,2256.9909697576563
EXPN.L,543,7.5355359761822545,13428.09859375,1968.714500158125
EXPN.L,544,7.366349931090738,13354.17890625,2016.2166702796876
EXPN.L,545,7.41288902734733,13695.85859375,1967.0953276226562
EXPN.L,546,7.066906323360701,14016.069375,2530.983059568594
EXPN.L,547,7.171333456732247,14073.5221875,2052.91793982125
EXPN.L,548,7.068288133388249,13242.714453125,1775.888882234375
EXPN.L,549,7.042174271767531,14997.14984375,2515.406808215156
EXPN.L,550,7.005667721403612,12775.936796875,1627.5090881082813
EXPN.L,551,7.416988518201057,14484.5528125,3192.4545063542187
EXPN.L,552,7.143219736906665,14590.858984375,2196.3664375964063
