Stock,Name,Dependent,Beta (vol),t-stat,p-value,R2,Correlation,N days
EXPN.L,Experian,daily_spread,2433.0224404130477,4.5541510683642,5.2597549256286635e-06,0.3399144948335834,0.5830218647988975,64
EXPN.L,Experian,daily_depth,-2243576.908240499,-0.6793541811548715,0.4969134740146529,0.00589834036816983,-0.0768006534358266,64
KGF.L,Kingfisher,daily_spread,10475.86661867115,13.270624903372104,3.4271085457437362e-40,0.6202573651511412,0.7875641974792537,64
KGF.L,Kingfisher,daily_depth,-7759994.934804986,-11.055421141904862,2.063660169562264e-28,0.49573128609057004,-0.7040818745647203,64
ULVR.L,Unilever,daily_spread,1152.9400404008222,1.9618953021346341,0.04977467488902437,0.09818720257694824,0.31334837254555564,64
ULVR.L,Unilever,daily_depth,-10287955.249465125,-0.7498450747162616,0.4533480177787049,0.004405374352410951,-0.06637299414981104,64
